Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
13455.29,19.0,Countdown Birkenhead,Countdown Mt Roskill,,
13404.0,19.0,Countdown Birkenhead,Countdown Newmarket,,
13700.119999999999,20.0,Countdown Birkenhead,Countdown Northcote,,
13712.64,20.0,Countdown Birkenhead,Countdown Onehunga,,
16426.67,26.0,Countdown Birkenhead,Countdown Ponsonby,,
13877.57,20.0,Countdown Birkenhead,Countdown Pt Chevalier,,
12856.76,18.0,Countdown Birkenhead,Countdown St Lukes,,
14556.21,20.0,Countdown Birkenhead,Countdown Sunnynook,,
14007.96,20.0,Countdown Birkenhead,Countdown Takapuna,,
14490.619999999999,19.0,Countdown Birkenhead,Countdown Te Atatu,,
14058.11,19.0,Countdown Birkenhead,Countdown Te Atatu South,,
14003.24,21.0,Countdown Birkenhead,Countdown Three Kings,,
14282.67,21.0,Countdown Birkenhead,Countdown Victoria Street West,,
17151.25,25.0,Countdown Birkenhead,Countdown Westgate,,
11488.029999999999,15.0,Countdown Birkenhead,Countdown Metro Halsey Street,,
11856.74,16.0,Countdown Birkenhead,FreshChoice Mangere Bridge,,
14232.5,17.0,Countdown Birkenhead,FreshChoice Ranui,,
13940.2,16.0,Countdown Birkenhead,SuperValue Palomino,,
12936.34,15.0,Countdown Birkenhead,SuperValue Titirangi,,
14431.810000000001,22.0,Countdown Blockhouse Bay,Countdown Auckland City,,
13948.65,19.0,Countdown Blockhouse Bay,Countdown Birkenhead,,
16226.39,20.0,Countdown Blockhouse Bay,Countdown Browns Bay,,
14082.630000000001,18.0,Countdown Blockhouse Bay,Countdown Glenfield,,
12800.630000000001,19.0,Countdown Blockhouse Bay,Countdown Greenlane,,
13166.27,20.0,Countdown Blockhouse Bay,Countdown Grey Lynn,,
13291.3,17.0,Countdown Blockhouse Bay,Countdown Hauraki Corner,,
13140.67,19.0,Countdown Blockhouse Bay,Countdown Henderson,,
14015.130000000001,19.0,Countdown Blockhouse Bay,Countdown Hobsonville,,
14093.720000000001,23.0,Countdown Blockhouse Bay,Countdown Kelston,,
13075.39,19.0,Countdown Blockhouse Bay,Countdown Lincoln Road,,
10849.17,18.0,Countdown Blockhouse Bay,Countdown Lynfield,,
12205.11,20.0,Countdown Blockhouse Bay,Countdown Lynmall,,
15977.65,21.0,Countdown Blockhouse Bay,Countdown Mairangi Bay,,
15036.43,20.0,Countdown Blockhouse Bay,Countdown Milford,,
12258.89,19.0,Countdown Blockhouse Bay,Countdown Mt Eden,,
11144.76,18.0,Countdown Blockhouse Bay,Countdown Mt Roskill,,
12400.43,18.0,Countdown Blockhouse Bay,Countdown Newmarket,,
13853.93,19.0,Countdown Blockhouse Bay,Countdown Northcote,,
11441.71,19.0,Countdown Blockhouse Bay,Countdown Onehunga,,
15292.81,25.0,Countdown Blockhouse Bay,Countdown Ponsonby,,
12114.18,19.0,Countdown Blockhouse Bay,Countdown Pt Chevalier,,
11033.83,17.0,Countdown Blockhouse Bay,Countdown St Lukes,,
14484.42,19.0,Countdown Blockhouse Bay,Countdown Sunnynook,,
13936.16,19.0,Countdown Blockhouse Bay,Countdown Takapuna,,
12712.91,18.0,Countdown Blockhouse Bay,Countdown Te Atatu,,
12280.39,18.0,Countdown Blockhouse Bay,Countdown Te Atatu South,,
12143.97,20.0,Countdown Blockhouse Bay,Countdown Three Kings,,
13414.880000000001,20.0,Countdown Blockhouse Bay,Countdown Victoria Street West,,
15638.6,24.0,Countdown Blockhouse Bay,Countdown Westgate,,
10824.29,14.0,Countdown Blockhouse Bay,Countdown Metro Halsey Street,,
9585.82,15.0,Countdown Blockhouse Bay,FreshChoice Mangere Bridge,,
12454.79,16.0,Countdown Blockhouse Bay,FreshChoice Ranui,,
12162.49,15.0,Countdown Blockhouse Bay,SuperValue Palomino,,
9857.98,14.0,Countdown Blockhouse Bay,SuperValue Titirangi,,
17667.77,24.0,Countdown Browns Bay,Countdown Auckland City,,
16442.53,21.0,Countdown Browns Bay,Countdown Birkenhead,,
16179.5,20.0,Countdown Browns Bay,Countdown Blockhouse Bay,,
15868.56,20.0,Countdown Browns Bay,Countdown Glenfield,,
16081.93,21.0,Countdown Browns Bay,Countdown Greenlane,,
16351.61,22.0,Countdown Browns Bay,Countdown Grey Lynn,,
15442.41,19.0,Countdown Browns Bay,Countdown Hauraki Corner,,
17186.93,21.0,Countdown Browns Bay,Countdown Henderson,,
16374.98,21.0,Countdown Browns Bay,Countdown Hobsonville,,
19047.64,25.0,Countdown Browns Bay,Countdown Kelston,,
16457.95,21.0,Countdown Browns Bay,Countdown Lincoln Road,,
15910.220000000001,20.0,Countdown Browns Bay,Countdown Lynfield,,
17274.27,22.0,Countdown Browns Bay,Countdown Lynmall,,
16761.02,23.0,Countdown Browns Bay,Countdown Mairangi Bay,,
16553.760000000002,22.0,Countdown Browns Bay,Countdown Milford,,
16044.29,21.0,Countdown Browns Bay,Countdown Mt Eden,,
15733.029999999999,20.0,Countdown Browns Bay,Countdown Mt Roskill,,
15681.73,20.0,Countdown Browns Bay,Countdown Newmarket,,
16104.369999999999,21.0,Countdown Browns Bay,Countdown Northcote,,
15990.369999999999,21.0,Countdown Browns Bay,Countdown Onehunga,,
16155.3,21.0,Countdown Browns Bay,Countdown Pt Chevalier,,
15134.49,19.0,Countdown Browns Bay,Countdown St Lukes,,
15877.01,21.0,Countdown Browns Bay,Countdown Sunnynook,,
16087.28,21.0,Countdown Browns Bay,Countdown Takapuna,,
16255.41,20.0,Countdown Browns Bay,Countdown Te Atatu,,
15925.5,20.0,Countdown Browns Bay,Countdown Te Atatu South,,
16280.98,22.0,Countdown Browns Bay,Countdown Three Kings,,
16560.4,22.0,Countdown Browns Bay,Countdown Victoria Street West,,
18552.33,26.0,Countdown Browns Bay,Countdown Westgate,,
13765.77,16.0,Countdown Browns Bay,Countdown Metro Halsey Street,,
14134.48,17.0,Countdown Browns Bay,FreshChoice Mangere Bridge,,
15837.35,18.0,Countdown Browns Bay,FreshChoice Ranui,,
15545.050000000001,17.0,Countdown Browns Bay,SuperValue Palomino,,
15214.07,16.0,Countdown Browns Bay,SuperValue Titirangi,,
15524.0,22.0,Countdown Glenfield,Countdown Auckland City,,
13826.27,19.0,Countdown Glenfield,Countdown Birkenhead,,
14035.740000000002,18.0,Countdown Glenfield,Countdown Blockhouse Bay,,
15824.4,20.0,Countdown Glenfield,Countdown Browns Bay,,
13938.17,19.0,Countdown Glenfield,Countdown Greenlane,,
14207.85,20.0,Countdown Glenfield,Countdown Grey Lynn,,
13298.65,17.0,Countdown Glenfield,Countdown Hauraki Corner,,
15189.14,19.0,Countdown Glenfield,Countdown Henderson,,
14377.18,19.0,Countdown Glenfield,Countdown Hobsonville,,
16877.98,23.0,Countdown Glenfield,Countdown Kelston,,
14460.150000000001,19.0,Countdown Glenfield,Countdown Lincoln Road,,
13766.45,18.0,Countdown Glenfield,Countdown Lynfield,,
14975.720000000001,20.0,Countdown Glenfield,Countdown Lynmall,,
15489.49,21.0,Countdown Glenfield,Countdown Mairangi Bay,,
14727.93,20.0,Countdown Glenfield,Countdown Milford,,
13900.52,19.0,Countdown Glenfield,Countdown Mt Eden,,
13589.26,18.0,Countdown Glenfield,Countdown Mt Roskill,,
13537.97,18.0,Countdown Glenfield,Countdown Newmarket,,
13766.689999999999,19.0,Countdown Glenfield,Countdown Northcote,,
13846.61,19.0,Countdown Glenfield,Countdown Onehunga,,
16560.64,25.0,Countdown Glenfield,Countdown Ponsonby,,
14011.54,19.0,Countdown Glenfield,Countdown Pt Chevalier,,
12990.73,17.0,Countdown Glenfield,Countdown St Lukes,,
14019.35,19.0,Countdown Glenfield,Countdown Sunnynook,,
13943.51,19.0,Countdown Glenfield,Countdown Takapuna,,
14257.61,18.0,Countdown Glenfield,Countdown Te Atatu,,
13927.7,18.0,Countdown Glenfield,Countdown Te Atatu South,,
14137.21,20.0,Countdown Glenfield,Countdown Three Kings,,
14416.64,20.0,Countdown Glenfield,Countdown Victoria Street West,,
16554.54,24.0,Countdown Glenfield,Countdown Westgate,,
11622.0,14.0,Countdown Glenfield,Countdown Metro Halsey Street,,
11990.710000000001,15.0,Countdown Glenfield,FreshChoice Mangere Bridge,,
13839.55,16.0,Countdown Glenfield,FreshChoice Ranui,,
13547.25,15.0,Countdown Glenfield,SuperValue Palomino,,
13070.31,14.0,Countdown Glenfield,SuperValue Titirangi,,
14112.85,23.0,Countdown Greenlane,Countdown Auckland City,,
13658.279999999999,20.0,Countdown Greenlane,Countdown Birkenhead,,
12544.25,19.0,Countdown Greenlane,Countdown Blockhouse Bay,,
15936.02,21.0,Countdown Greenlane,Countdown Browns Bay,,
13792.26,19.0,Countdown Greenlane,Countdown Glenfield,,
13174.92,21.0,Countdown Greenlane,Countdown Grey Lynn,,
13000.92,18.0,Countdown Greenlane,Countdown Hauraki Corner,,
13962.02,20.0,Countdown Greenlane,Countdown Henderson,,
14435.32,20.0,Countdown Greenlane,Countdown Hobsonville,,
15386.49,24.0,Countdown Greenlane,Countdown Kelston,,
13495.58,20.0,Countdown Greenlane,Countdown Lincoln Road,,
12274.96,19.0,Countdown Greenlane,Countdown Lynfield,,
13484.220000000001,21.0,Countdown Greenlane,Countdown Lynmall,,
15687.27,22.0,Countdown Greenlane,Countdown Mairangi Bay,,
14746.06,21.0,Countdown Greenlane,Countdown Milford,,
12036.92,20.0,Countdown Greenlane,Countdown Mt Eden,,
11713.06,19.0,Countdown Greenlane,Countdown Mt Roskill,,
11801.0,19.0,Countdown Greenlane,Countdown Newmarket,,
13563.55,20.0,Countdown Greenlane,Countdown Northcote,,
11476.48,20.0,Countdown Greenlane,Countdown Onehunga,,
15216.42,26.0,Countdown Greenlane,Countdown Ponsonby,,
12520.05,20.0,Countdown Greenlane,Countdown Pt Chevalier,,
11499.24,18.0,Countdown Greenlane,Countdown St Lukes,,
14194.04,20.0,Countdown Greenlane,Countdown Sunnynook,,
13645.79,20.0,Countdown Greenlane,Countdown Takapuna,,
13133.1,19.0,Countdown Greenlane,Countdown Te Atatu,,
12700.59,19.0,Countdown Greenlane,Countdown Te Atatu South,,
12193.05,21.0,Countdown Greenlane,Countdown Three Kings,,
13071.89,21.0,Countdown Greenlane,Countdown Victoria Street West,,
16058.79,25.0,Countdown Greenlane,Countdown Westgate,,
10666.0,15.0,Countdown Greenlane,Countdown Metro Halsey Street,,
9868.61,16.0,Countdown Greenlane,FreshChoice Mangere Bridge,,
12874.98,17.0,Countdown Greenlane,FreshChoice Ranui,,
12582.68,16.0,Countdown Greenlane,SuperValue Palomino,,
11578.82,15.0,Countdown Greenlane,SuperValue Titirangi,,
15127.89,24.0,Countdown Grey Lynn,Countdown Auckland City,,
14099.27,21.0,Countdown Grey Lynn,Countdown Birkenhead,,
13209.93,20.0,Countdown Grey Lynn,Countdown Blockhouse Bay,,
16377.01,22.0,Countdown Grey Lynn,Countdown Browns Bay,,
14233.24,20.0,Countdown Grey Lynn,Countdown Glenfield,,
13399.55,21.0,Countdown Grey Lynn,Countdown Greenlane,,
13441.91,19.0,Countdown Grey Lynn,Countdown Hauraki Corner,,
14627.71,21.0,Countdown Grey Lynn,Countdown Henderson,,
15052.720000000001,21.0,Countdown Grey Lynn,Countdown Hobsonville,,
16052.18,25.0,Countdown Grey Lynn,Countdown Kelston,,
14161.27,21.0,Countdown Grey Lynn,Countdown Lincoln Road,,
12940.65,20.0,Countdown Grey Lynn,Countdown Lynfield,,
14149.91,22.0,Countdown Grey Lynn,Countdown Lynmall,,
16128.26,23.0,Countdown Grey Lynn,Countdown Mairangi Bay,,
15187.05,22.0,Countdown Grey Lynn,Countdown Milford,,
