,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Hauraki Corner,Countdown Henderson,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manurewa,Countdown Meadowbank,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Onehunga,Countdown Pakuranga,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Hauraki Corner,2515.02,1119.72,2447.17,761.41,1947.57,2380.19,1533.68,876.53,1313.67,861.54,0,2133.96,1507.58,2812.39,2060.78,1903.57,1883.48,1848.34,1153.81,2375.5,2482.72,2169.93,2729.29,1677.62,420.99,1365.11,1768.78,1699.54,1076.92,575.37,1965.21,1974.27,2116.03,1040.42,1322.05,2881.75,2165.49,1401.05,858.3,2680.43,313.48,1978,1727.8,1547.77,996.48,1714.31,823.46,2265.82,2498.78,2062.92,1926.34,2278.63,2289.91,2331.37,3046.7,2358.43
Countdown Henderson,2277.39,1658.71,2940.82,2042.48,1237.76,2873.84,2526.75,2243.78,1807.32,1451.16,2265.3,0,1365.76,3306.04,642.15,463.89,1645.84,885.35,2115.79,2137.87,2245.08,2663.58,2685.98,2171.27,2490.91,1624.53,1531.14,2193.19,1570.57,2031.55,1727.57,2467.92,2609.69,1403.77,1138.47,3375.4,2659.14,1498.83,1991.41,3174.08,2127.42,878.97,405.35,1721.78,1625.91,1018.61,1656.93,2028.19,2992.43,1825.28,2419.99,636.13,2783.56,365.98,3540.35,932.87
Countdown Hobsonville,2459.81,1841.14,3123.25,1660.6,1892.36,3056.27,1593.4,1310.43,1989.75,1633.58,1540.65,1353.15,0,3488.47,1716.2,860.22,1828.27,1632.67,1182.45,2320.29,2427.5,2846,2868.41,2353.7,1557.56,1806.96,1713.57,2375.62,1752.99,1406.23,1910,2650.35,2792.11,1586.2,1320.9,3557.83,2841.56,1681.25,1058.06,3356.5,1402.77,1094.59,946.99,1904.21,1808.33,565.51,1722.65,2210.61,3174.86,2007.7,2602.41,1235.27,2965.99,1288.02,3722.78,2102.07
Countdown Howick,2411.86,2306.91,445.58,2719.27,3054.43,547.41,3734.2,3077.05,1798.69,2426.96,2942.08,3240.81,3531.7,0,3167.63,3010.43,2890.16,2955.2,3354.33,2080.76,2140.34,1413.35,2043.26,1795.82,3130.02,2203.61,2875.63,1428.4,2108.57,2708.33,1921.67,1093.18,1546.18,2294.54,2428.9,2090.22,1548.81,2507.91,3058.82,2028.07,2804.2,3084.86,2834.66,2305.7,2250.08,3184.54,2465.8,2034.73,546.68,2264.51,1606.35,3385.48,1173.46,3438.23,2394.34,3465.28
Countdown Kelston,1975.04,1654.08,2936.19,2037.85,681.33,2869.21,2923.75,2395.63,1802.69,1446.52,2260.66,636.94,1762.76,3301.41,0,1033.58,918.84,485.14,2512.79,1835.52,1942.73,2399.01,2383.63,2166.64,2448.6,1461.03,1135.53,2188.56,1565.93,2026.91,1425.23,2463.29,2305.58,1399.14,1017.44,2975.76,2654.5,1194.55,2388.41,2774.44,2122.78,1275.97,802.35,1419.44,1621.28,1415.61,1652.3,1725.84,2987.8,1522.93,2129.54,1241.06,2778.93,970.91,3140.71,458.71
Countdown Lincoln Road,2041.34,1422.66,2704.77,1806.44,1473.89,2637.79,2040.25,1757.28,1571.28,1215.11,1987.5,472.58,879.27,3069.99,1058.81,0,1409.79,1214.19,1629.3,1901.82,2009.03,2427.53,2449.93,1935.22,2004.41,1388.48,1295.09,1957.15,1334.52,1853.08,1491.53,2231.88,2373.64,1167.72,902.42,3139.35,2423.09,1262.78,1504.92,2938.03,1849.62,676.12,335.45,1485.73,1389.86,532.11,1420.88,1792.14,2756.39,1589.23,2183.94,440.28,2547.51,493.02,3304.3,1349.53
Countdown Lynfield,1290.81,1354.2,2636.31,1737.98,346.21,2461.1,2752.9,2095.75,1502.81,1146.65,1960.79,1548.95,1839.84,3001.53,885.07,1318.57,0,698.45,2373.04,1151.29,1258.5,1714.78,1699.4,1866.76,2148.73,991.35,579.59,1888.69,1266.06,1727.04,740.99,2163.42,1621.35,1099.26,849.29,2291.53,2354.63,770.84,2077.53,2090.21,1822.91,1393,1142.8,628.77,1321.4,1492.69,1352.42,1041.61,2687.93,838.7,1445.31,1693.62,1918.51,1746.37,2456.48,803.91
Countdown Lynmall,1635.21,1417.19,2699.3,1800.96,498.41,2632.32,2815.15,2158.74,1565.8,1209.63,2023.78,843.98,1654.16,3064.52,410.73,1132.89,703.22,0,2404.19,1495.69,1602.9,2059.19,2043.81,1929.75,2211.71,1121.2,795.7,1951.67,1329.04,1790.03,1085.4,2226.4,1965.76,1162.25,790.58,2635.94,2417.61,854.73,2279.81,2434.61,1885.89,1207.32,957.12,1079.61,1384.39,1307.01,1415.41,1386.01,2750.91,1183.1,1789.71,1507.95,2262.92,1177.95,2800.89,558.11
Countdown Mairangi Bay,2989.12,1593.81,2921.27,1235.51,2421.67,2854.29,539.91,765.95,1787.77,1335.64,1115.56,2148.73,1154.36,3286.49,2511.79,1655.8,2357.58,2428.25,0,2849.6,2956.81,2644.02,3203.39,2151.72,509.66,1839.2,2242.88,2173.64,1551.01,981.14,2439.31,2448.37,2590.13,1514.51,1796.14,3355.85,2639.58,1875.15,313.73,3154.52,977.68,1890.18,1742.58,2021.86,1470.58,1361.09,1297.55,2739.92,2972.88,2537.01,2400.43,2030.86,2764.01,2083.6,3520.8,2897.66
Countdown Mangere East,686.83,1886.47,2128.33,2270.24,1357.97,1612.5,3285.17,2628.02,1236.65,1678.91,2493.05,2081.22,2372.1,2133.38,1800.74,1850.83,1165.13,1489.7,2905.3,0,330.39,866.18,850.8,1571.07,2680.99,1408.86,1150.49,1025.29,1798.32,2259.3,836.84,1328.26,594.16,1631.53,1602.67,1442.93,1585.69,1395.47,2609.79,1241.61,2355.17,1925.26,1675.06,1001.27,1853.66,2024.95,1884.69,433.7,2179.94,539.48,413.16,2225.89,1069.91,2278.63,1607.88,1768.82
