Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
13656.94,21.0,Countdown Auckland City,Countdown Grey Lynn,,
12717.36,19.0,Countdown Auckland City,Countdown Grey Lynn Central,,
13446.720000000001,18.0,Countdown Auckland City,Countdown Hauraki Corner,,
14543.24,20.0,Countdown Auckland City,Countdown Henderson,,
15016.54,20.0,Countdown Auckland City,Countdown Hobsonville,,
14617.71,21.0,Countdown Auckland City,Countdown Kelston,,
14076.8,20.0,Countdown Auckland City,Countdown Lincoln Road,,
12856.18,19.0,Countdown Auckland City,Countdown Lynfield,,
12715.44,18.0,Countdown Auckland City,Countdown Lynmall,,
16133.07,22.0,Countdown Auckland City,Countdown Mairangi Bay,,
15191.85,21.0,Countdown Auckland City,Countdown Milford,,
12992.01,20.0,Countdown Auckland City,Countdown Mt Eden,,
12678.99,19.0,Countdown Auckland City,Countdown Mt Roskill,,
12629.46,19.0,Countdown Auckland City,Countdown Newmarket,,
14009.35,20.0,Countdown Auckland City,Countdown Northcote,,
14253.43,19.0,Countdown Auckland City,Countdown Northwest,,
12936.33,20.0,Countdown Auckland City,Countdown Onehunga,,
13434.439999999999,21.0,Countdown Auckland City,Countdown Ponsonby,,
13101.26,20.0,Countdown Auckland City,Countdown Pt Chevalier,,
12080.45,18.0,Countdown Auckland City,Countdown St Lukes,,
14639.84,20.0,Countdown Auckland City,Countdown Sunnynook,,
14091.59,20.0,Countdown Auckland City,Countdown Takapuna,,
13714.310000000001,19.0,Countdown Auckland City,Countdown Te Atatu,,
13281.8,19.0,Countdown Auckland City,Countdown Te Atatu South,,
13228.7,21.0,Countdown Auckland City,Countdown Three Kings,,
13240.76,21.0,Countdown Auckland City,Countdown Victoria Street West,,
14390.01,20.0,Countdown Auckland City,Countdown Westgate,,
10483.130000000001,15.0,Countdown Auckland City,Countdown Metro Albert Street,,
10748.880000000001,15.0,Countdown Auckland City,Countdown Metro Halsey Street,,
12086.970000000001,15.0,Countdown Auckland City,FreshChoice Glen Eden,,
11080.43,16.0,Countdown Auckland City,FreshChoice Mangere Bridge,,
13456.2,17.0,Countdown Auckland City,FreshChoice Ranui,,
10904.56,15.0,Countdown Auckland City,SuperValue Avondale,,
13163.9,16.0,Countdown Auckland City,SuperValue Palomino,,
12160.03,15.0,Countdown Auckland City,SuperValue Titirangi,,
14040.03,20.0,Countdown Birkenhead,Countdown Auckland City,,
13901.76,19.0,Countdown Birkenhead,Countdown Blockhouse Bay,,
16298.18,21.0,Countdown Birkenhead,Countdown Browns Bay,,
13692.23,19.0,Countdown Birkenhead,Countdown Glenfield,,
13804.2,20.0,Countdown Birkenhead,Countdown Greenlane,,
14073.880000000001,21.0,Countdown Birkenhead,Countdown Grey Lynn,,
13153.07,19.0,Countdown Birkenhead,Countdown Grey Lynn Central,,
13363.09,18.0,Countdown Birkenhead,Countdown Hauraki Corner,,
15319.54,20.0,Countdown Birkenhead,Countdown Henderson,,
14973.9,20.0,Countdown Birkenhead,Countdown Hobsonville,,
15394.01,21.0,Countdown Birkenhead,Countdown Kelston,,
14853.1,20.0,Countdown Birkenhead,Countdown Lincoln Road,,
13632.48,19.0,Countdown Birkenhead,Countdown Lynfield,,
13491.75,18.0,Countdown Birkenhead,Countdown Lynmall,,
16049.44,22.0,Countdown Birkenhead,Countdown Mairangi Bay,,
15008.22,21.0,Countdown Birkenhead,Countdown Milford,,
13766.55,20.0,Countdown Birkenhead,Countdown Mt Eden,,
13455.29,19.0,Countdown Birkenhead,Countdown Mt Roskill,,
